 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         59130        8010576  [B (java.base@23)
   2:          1144        6639392  [Ljdk.internal.vm.FillerElement; (java.base@23)
   3:         52658        1263792  java.lang.String (java.base@23)
   4:          6827         809608  java.lang.Class (java.base@23)
   5:         23320         746240  java.util.concurrent.ConcurrentHashMap$Node (java.base@23)
   6:          8379         564672  [Ljava.lang.Object; (java.base@23)
   7:          5076         446688  java.lang.reflect.Method (java.base@23)
   8:          3631         356120  [I (java.base@23)
   9:         10060         321920  java.util.HashMap$Node (java.base@23)
  10:          3117         282776  [Ljava.util.HashMap$Node; (java.base@23)
  11:           363         242608  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@23)
  12:          5901         236040  java.util.LinkedHashMap$Entry (java.base@23)
  13:         12624         201984  java.lang.Object (java.base@23)
  14:          2711         173504  java.util.LinkedHashMap (java.base@23)
  15:          2256         162432  java.lang.reflect.Field (java.base@23)
  16:          5503         146456  [Ljava.lang.Class; (java.base@23)
  17:          2486         119328  java.lang.invoke.MemberName (java.base@23)
  18:          4902         117648  java.util.ArrayList (java.base@23)
  19:           937         115928  [C (java.base@23)
  20:           448          89248  [J (java.base@23)
  21:          2195          87800  jdk.internal.util.SoftReferenceKey (java.base@23)
  22:          1510          72480  java.util.HashMap (java.base@23)
  23:          1714          68560  java.lang.invoke.MethodType (java.base@23)
  24:           875          63000  java.lang.reflect.Constructor (java.base@23)
  25:           891          57024  java.lang.Class$ReflectionData (java.base@23)
  26:          1711          54752  jdk.internal.util.WeakReferenceKey (java.base@23)
  27:          1355          54200  org.codehaus.plexus.util.xml.Xpp3Dom
  28:           557          53472  org.apache.maven.model.Dependency
  29:          1241          49640  java.lang.ref.SoftReference (java.base@23)
  30:          1234          49360  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@23)
  31:           719          46016  java.net.URL (java.base@23)
  32:          1219          39008  com.google.inject.Key
  33:          1618          38832  com.google.inject.TypeLiteral
  34:           367          38168  java.util.jar.JarFile$JarFileEntry (java.base@23)
  35:          1115          35680  java.util.Locale (java.base@23)
  36:          1115          35680  sun.util.locale.BaseLocale (java.base@23)
  37:           769          34800  [Ljava.lang.reflect.Method; (java.base@23)
  38:          1057          33824  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@23)
  39:           677          32496  java.lang.invoke.DirectMethodHandle$Constructor (java.base@23)
  40:           446          32112  org.apache.maven.model.Plugin
  41:           971          31072  com.google.inject.spi.ElementSource
